c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
723462551-11162-nu,nu,84.45634409,84.45634409,0.03030303,0.5,0.484848485,0.515151515,0.0,0,0,2,0,0,9255,2066,0.0,0.0,0.0
621251641-11162-nu,nu,78.245,78.245,0.1,0.0,0.4,0.4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
806941598-11162-nu,nu,92.54273256,92.54273256,0.022222222,0.0,0.555555556,0.555555556,0.0,0,0,2,0,0,9255,2066,0.0,1.0,1.0
811180892-11162-nu,nu,78.245,78.245,0.1,0.0,0.4,0.4,0.0,0,0,2,0,0,9255,2066,0.0,0.0,0.0
450700751-11119-nu,nu,86.14505102,86.14505102,0.00952381,0.333333333,0.447619048,0.457142857,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
869574178-11118-nu,nu,87.48875,87.48875,0.028571429,0.0,0.542857143,0.542857143,0.0,0,0,1,0,0,9146,2058,0.0,1.0,1.0
443049952-11105-nu,nu,95.99916667,95.99916667,0.033333333,0.5,0.433333333,0.433333333,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
446632265-11105-nu,nu,72.61545455,72.61545455,0.083333333,0.0,0.333333333,0.333333333,0.128769688,0,0,31,1,4,9078,2056,0.0,0.0,0.0
452070088-11105-nu,nu,100.0,100.0,0.066666667,0.0,0.666666667,0.733333333,0.141534629,0,0,16,1,4,9078,2056,0.102062073,0.0,0.0
445423494-11105-nu,nu,95.955,95.955,0.037037037,0.0,0.296296296,0.37037037,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
713475241-11105-nu,nu,50.345,58.65916667,0.12,0.0,0.12,0.2,0.0,0,0,0,0,0,9078,2056,0.0,1.0,1.0
443423252-11100-nu,nu,96.05954545,96.05954545,0.037037037,0.0,0.407407407,0.407407407,0.0,3,1,31,1,46,9371,2075,0.0,0.0,0.0
444472252-11100-nu,nu,78.81,78.81,0.02,0.333333333,0.36,0.36,0.0,3,1,31,1,46,9371,2075,0.0,1.0,1.0
459989574-11100-nu,nu,59.72695783,68.81117647,0.550847458,1.0,0.211864407,0.211864407,0.0,0,0,2,1,44,9078,2056,0.0,1.0,1.0
460441755-11100-nu,nu,60.74428571,60.74428571,0.0625,0.0,0.25,0.25,0.0,3,1,31,1,46,9371,2075,0.0,0.0,0.0
660133263-11100-nu,nu,92.86285714,92.86285714,0.041666667,0.0,0.458333333,0.458333333,0.0,0,0,2,0,0,9078,2056,0.0,0.0,0.0
663481190-11100-nu,nu,100.0,100.0,0.066666667,0.0,0.333333333,0.333333333,0.0,0,0,2,0,0,9078,2056,0.0,0.0,0.0
671614552-11100-nu,nu,95.165,95.165,0.083333333,0.0,0.583333333,0.583333333,0.0,0,0,2,0,0,9078,2056,0.0,1.0,1.0
427737486-11066-nu,nu,49.54272727,52.865,0.153846154,1.0,0.384615385,0.384615385,0.301717131,1,1,8,1,41,9074,2053,0.0,0.0,0.0
380462182-10969-nu,nu,86.939801,86.939801,0.014285714,0.0,0.442857143,0.457142857,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
390581168-10960-nu,nu,95.93928571,100.0,0.277777778,1.0,0.611111111,0.611111111,0.071428571,0,0,0,1,27,8990,2041,0.0,0.0,0.0
390962921-10960-nu,nu,57.945,82.82961538,0.243243243,0.0,0.324324324,0.324324324,0.125988158,0,0,0,1,27,8990,2041,0.0,1.0,1.0
591058448-10929-nu,nu,97.22107143,100.0,0.414634146,0.0,0.365853659,0.365853659,0.0,0,0,1061,0,0,11270,2388,0.0,0.0,0.0
591060657-10929-nu,nu,87.45209459,87.45209459,0.023809524,0.0,0.5,0.5,0.0,0,0,1061,0,0,11270,2388,0.0,1.0,1.0
364453138-10929-nu,nu,100.0,100.0,0.083333333,0.0,0.416666667,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
725140994-20071-nu,nu,90.95857143,90.95857143,0.0625,0.0,0.5,0.5625,0.0,1,1,140,1,93,16576,6790,0.0,1.0,1.0
724003482-20061-nu,nu,89.06382278,89.06382278,0.010869565,0.0,0.25,0.25,0.353189453,11,1,2103,1,48,15336,6577,0.0,-1.0,-1.0
939422789-20061-nu,nu,84.9,70.08365385,0.333333333,0.0,0.208333333,0.208333333,0.0,0,0,2103,0,0,15336,6577,0.0,1.0,1.0
724119920-20061-nu,nu,76.53625,76.83227273,0.394736842,0.0,0.421052632,0.473684211,0.394877813,11,1,2103,1,48,15336,6577,0.0,0.0,0.0
932010153-20004-nu,nu,65.29590909,65.29590909,0.045454545,0.0,0.409090909,0.454545455,0.0,0,0,249,0,0,15303,6560,0.0,0.0,0.0
767853829-20002-nu,nu,100.0,100.0,0.147058824,0.0,0.352941176,0.352941176,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
932839054-20000-nu,nu,80.09764706,80.09764706,0.025641026,0.0,0.564102564,0.564102564,0.0,0,0,1712,0,0,15299,6559,0.0,1.0,1.0
766985060-20000-nu,nu,76.23421053,76.23421053,0.015873016,0.0,0.555555556,0.571428571,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
